pitcher_name,pitcher_lefty,fastball_rate,sinker_rate,slider_rate,changeup_rate,knuckle_curve_rate,curveball_rate,cutter_rate,splitter_rate,other_rate
Jonathan Loaisiga,False,0.0196335078534031,0.6269633507853403,0.0,0.1479057591623036,0.0,0.200261780104712,0.0,0.0,0.0052356020942408
Jordan Hicks,False,0.005708848715509,0.6517602283539486,0.3158896289248334,0.0266412940057088,0.0,0.0,0.0,0.0,0.0
Jordan Lyles,False,0.3176037483266399,0.1746987951807229,0.2389558232931727,0.10809906291834,0.0,0.1338688085676037,0.0267737617135207,0.0,0.0
Jordan Montgomery,True,0.1701657458563535,0.34548802946593,0.0,0.2217311233885819,0.0,0.2224677716390423,0.040147329650092,0.0,0.0
Jordan Romano,False,0.4716417910447761,0.0029850746268656,0.5094527363184079,0.0,0.0,0.0,0.0,0.0,0.0159203980099502
Jordan Weems,False,0.6347222222222222,0.0,0.2347222222222222,0.0944444444444444,0.0,0.0305555555555555,0.0,0.0,0.0055555555555555
Jorge Lopez,False,0.0440304826418289,0.4961896697713802,0.1049957662997459,0.1532599491955969,0.1845893310753598,0.0,0.0,0.0,0.016934801016088
Jose Alvarado,True,0.0134529147982062,0.5381165919282511,0.0,0.0,0.0,0.0123318385650224,0.4237668161434977,0.0,0.0123318385650224
Jose Alvarez,True,0.03971119133574,0.5018050541516246,0.0974729241877256,0.3465703971119133,0.0,0.0,0.0,0.0,0.0144404332129963
Jose Berrios,False,0.2806083650190114,0.2585551330798479,0.0,0.1528517110266159,0.0,0.3079847908745247,0.0,0.0,0.0
Jose Cisnero,False,0.3581395348837209,0.3232558139534883,0.2581395348837209,0.0604651162790697,0.0,0.0,0.0,0.0,0.0
Jose Cuas,False,0.0,0.6152737752161384,0.3645533141210375,0.0115273775216138,0.0,0.0,0.0,0.0,0.0086455331412103
Jose Leclerc,False,0.3643312101910828,0.0,0.3554140127388535,0.2203821656050955,0.0,0.0,0.0598726114649681,0.0,0.0
Jose Marte,False,0.4113207547169811,0.0943396226415094,0.0075471698113207,0.0037735849056603,0.0,0.0,0.4830188679245283,0.0,0.0
Jose Quijada,True,0.8302687411598303,0.0,0.041018387553041,0.106082036775106,0.0,0.0,0.0,0.0,0.0226308345120226
Jose Quintana,True,0.3596041055718475,0.1634897360703812,0.0,0.1946480938416422,0.0,0.2807917888563049,0.0,0.0,0.001466275659824
Jose Ruiz,False,0.4753363228699551,0.0035874439461883,0.0,0.2269058295964125,0.0,0.2941704035874439,0.0,0.0,0.0
Jose Suarez,True,0.3405918481295366,0.0831937465103294,0.1998883305415968,0.2428810720268006,0.0,0.1289782244556113,0.0,0.0,0.004466778336125
Jose Urena,False,0.0733662145499383,0.5197287299630087,0.2441430332922318,0.1627620221948212,0.0,0.0,0.0,0.0,0.0
Jose Urquidy,False,0.5272727272727272,0.0,0.1352272727272727,0.1484848484848485,0.0,0.140530303030303,0.0484848484848484,0.0,0.0
Josh Fleming,True,0.0015015015015015,0.5435435435435435,0.0,0.1891891891891892,0.0,0.1081081081081081,0.1516516516516516,0.0,0.006006006006006
Josh Hader,True,0.0,0.694591728525981,0.2831389183457052,0.0222693531283138,0.0,0.0,0.0,0.0,0.0
Josh Rogers,True,0.4176610978520286,0.1312649164677804,0.350835322195704,0.1002386634844868,0.0,0.0,0.0,0.0,0.0
Josh Sborz,False,0.5130023640661938,0.0,0.243498817966903,0.0,0.0,0.2340425531914893,0.0,0.0,0.0094562647754137
Josh Staumont,False,0.5102599179206566,0.1409028727770178,0.0,0.0,0.0,0.3488372093023256,0.0,0.0,0.0
